LogIdentifierID|DurationCommercial|SumOfDurationInSeconds|CommercialRatio|Undertaking_Name
BRAVO|701000|3383060|0.2072088582525879|Bravo!
BBCKID|123132|2860479|0.04304593741118183|
BOOK|607620|3292170|0.18456519560047022|Book Television (formerly Book Television - The Channel)
CBKT|539627|3221057|0.1675310309628175|Canadian Broadcasting Corporation, regina (CBKT-DT)
CBHT|532878|3212658|0.1658682623547231|Canadian Broadcasting Corporation, halifax (CBHT-DT)
CBAFT|406067|3087707|0.13151085902904647|Société Radio-Canada, moncton (CBAFT-DT)
ATN9|421803|3103423|0.1359154069554811|
MAKE|724900|3411100|0.2125120928732667|Makeful TV (formerly BITE Television )
13ST|720130|3401530|0.2117076727237449|Crime + Investigation (formerly Mystery)
BBCCND|668994|3350299|0.19968187913974245|BBC Canada
ANIMAL|694930|3379506|0.2056306454256924|Animal Planet
ASN|1084525|3282175|0.33042875532230914|CTV Two Atlantic (formerly /A\ Atlantic & ASN)
CBMT|537621|3219711|0.16697803001573744|Canadian Broadcasting Corporation, montreal (CBMT-DT)
ATN3|661150|3341356|0.1978687694456981|
VRAK|486970|1172579|0.41529824429739914|VRAK (formerly Vrak.TV)
ARTV|562527|3242532|0.17348387001269377|ICI ARTV
CANALD|660132|673746|0.9797935720583127|Canal D
ZT�L�|669624|682023|0.9818202611935375|
CBC|386381|3066191|0.12601335011419706|English TV Service
CBAT|529914|3209874|0.16508872310875755|Canadian Broadcasting Corporation, fredericton (formerly saint john change to main area) (CBAT-DT)
ATN8|63111|2744672|0.022994004383766076|
CBNT|531741|3211581|0.16556985484719208|Canadian Broadcasting Corporation, st. john's (CBNT-DT)
ABORIN|581992|3246416|0.17927215735752905|Aboriginal Peoples Television Network (APTN)
ALLTV|168088|529135|0.31766562408459087|
BC1|477238|3169344|0.1505794259001232|BC News 1 (formerly Global News Plus BC)
CBLT|542486|3222596|0.16833819690708982|Canadian Broadcasting Corporation, toronto (CBLT-DT)
CANALVIE|639073|655108|0.9755231198519939|Canal Vie
ATN5|358626|3039898|0.11797303725322363|
CBFT|426372|3104832|0.13732530455754127|Société Radio-Canada, montreal (CBFT-DT)
ATN6|296923|2976605|0.09975223450877761|
ATN2|324115|3013600|0.10755076984337669|
ATN7|216641|2896472|0.07479478482788716|
BLC|535680|3246344|0.16501023921063201|The Beautiful Little Channel (formerly Classical Digital)
CBLFT|413012|3095207|0.13343598667229686|Société Radio-Canada,  (CBLFT-DT)
ABORIW|607366|3277562|0.18531030076624028|Aboriginal Peoples Television Network (APTN)
CBKFT|401496|3083511|0.13020741615645282|Société Radio-Canada, regina (CBKFT-DT)
ASIDE|447172|3122660|0.1432022698596709|A.Side (formerly AUX TV)
ATN1|446926|3129055|0.14283098251708584|
ABORI|608472|3279923|0.1855141111544387|Aboriginal Peoples Television Network (APTN)
CBET|541716|3222786|0.16808934878083745|Canadian Broadcasting Corporation, windsor (CBET-DT)
CBCT|532872|3212652|0.16586670451701585|Canadian Broadcasting Corporation, charlottetown (CBCT-DT)
CFTF|665|45780|0.01452599388379205|Télévision MBS inc., rivière-du-loup (CFTF-DT)
CEVASI|688125|3342135|0.20589383732254982|Évasion (formerly Canal Évasion)
CFMT|798577|3198204|0.2496954540735988|Rogers Media Inc., toronto (CFMT-DT)
CFGS|931455|2840800|0.32788475077442975|RNC MEDIA Inc., gatineau (CFGS-DT)
CFCF|924020|3311341|0.27904706884612607|Bell Media Inc., montreal (CFCF-DT)
CBXT|547783|3227623|0.16971715717727875|Canadian Broadcasting Corporation, edmonton (CBXT-DT)
CESS|1078980|3248280|0.3321696405482286|CTV Two Alberta (formerly ACCESS)
CFTM|791848|3244558|0.24405419782910337|TVA Group Inc., montreal (CFTM-DT)
CFCM|768025|3250014|0.2363143666458052|TVA Group Inc., quebec (CFCM-DT)
CFTU|161388|247080|0.6531811559009227|Canal Savoir, montreal (CFTU-DT)
CFRS|453172|465773|0.9729460488263596|V Interactions inc., saguenay (jonquiere) (CFRS-DT)
